type,name,barcode,variety,brand,slug,sku,unit,selectedPurchasingUnit,stockLevel,eachUnitQuantity,averageWeightPerUnit,hasShopperNotes,departments,subsAllowed,supportsBothEachAndKgPricing,adId,brandSuggestionId,brandSuggestionName,priceUnitLabel,availabilityStatus,onlineSample,onlineSampleRealProductMapId,isAgeRestricted,isTobaccoProduct,price.originalPrice,price.salePrice,price.savePrice,price.savePercentage,price.canShowSavings,price.hasBonusPoints,price.isClubPrice,price.isSpecial,price.isNew,price.canShowOriginalPrice,price.discount,price.total,price.isTargetedOffer,price.averagePricePerSingleUnit,price.isBoostOffer,price.purchasingUnitPrice,price.orderedPrice,price.isUsingOrderedPrice,price.currentPricingMatchesOrderedPricing,price.extendedListPrice,price.originalAveragePricePerSingleUnit,price.promotionStartDate,price.promotionEndDate,images.small,images.big,quantity.min,quantity.max,quantity.increment,quantity.value,quantity.quantityInOrder,quantity.purchasingQuantityString,size.cupListPrice,size.cupPrice,size.cupMeasure,size.packageType,size.volumeSize,productTag.tagType,productTag.multiBuy,productTag.bonusPoints,productTag.additionalTag.name,productTag.additionalTag.link,productTag.additionalTag.imagePath,productTag.additionalTag.linkTarget,productTag.additionalTag.altText,productTag.targetedOffer,productTag.boostOffer,id,link,positionIndex,headingText,paragraphText,products,image.src,image.alt,mobileImage.src,mobileImage.alt,productTag,content,additionalClassNames,secondaryImage.src,secondaryImage.alt,action.title,action.link,action.underlay,action.class,productTag.multiBuy.quantity,productTag.multiBuy.value,productTag.multiBuy.link,productTag.multiBuy.multiCupValue,productTag.additionalTag
Product,fresh fruit bananas snack pack,5099368909242,snack pack,fresh fruit,fresh-fruit-bananas-snack-pack,644247,Each,,3.0,,,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,False,,,,,In Stock,,0.0,False,False,4.45,4.45,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/644247.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/644247.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,0.0,0.0,,,6pack,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh fruit bananas yellow loose,9354829000064,yellow loose,fresh fruit,fresh-fruit-bananas-yellow-loose,133211,Kg,,3.0,,0.25,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,True,,,,,In Stock,,0.0,False,False,3.75,3.75,0.0,0.0,True,False,False,False,False,True,,,False,0.94,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/133211.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/133211.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.25,100.0,0.25,,,,3.75,3.75,1kg,min order 250g,,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh fruit mandarins satsuma,9421009640027,satsuma,fresh fruit,fresh-fruit-mandarins-satsuma,143418,Kg,,3.0,,0.15,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,True,,,,,Out of Stock,,0.0,False,False,5.49,5.49,0.0,0.0,True,False,False,False,False,True,,,False,0.82,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/143418.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/143418.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.1,100.0,0.1,,,,5.49,5.49,1kg,min order 150g,per kg,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh vegetable broccoli head,9414742350858,head,fresh vegetable,fresh-vegetable-broccoli-head,281082,Each,,3.0,,,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,False,,,,,In Stock,,0.0,False,False,3.0,2.0,1.0,33.0,False,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/281082.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/281082.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,3.0,2.0,1ea,,,Other,,,Fresh Deals,,/Content/PromotionTags/F24_Fresh_deal.png,_self,Fresh Deals,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh vegetable onions brown,9414742352296,brown,fresh vegetable,fresh-vegetable-onions-brown,144329,Kg,,3.0,,0.15,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,True,,,,,In Stock,,0.0,False,False,2.49,2.49,0.0,0.0,True,False,False,False,False,True,,,False,0.37,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/144329.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/144329.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.1,100.0,0.1,,,,2.49,2.49,1kg,loose,per kg,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh vegetable carrots ,9414742351053,,fresh vegetable,fresh-vegetable-carrots,135344,Kg,,3.0,,0.15,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,True,,,,,In Stock,,0.0,False,False,2.75,2.25,0.5,0.0,False,False,False,False,False,True,,,False,0.41,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/135344.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/135344.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.1,100.0,0.1,,,,2.75,2.25,1kg,loose,per kg,Other,,,Fresh Deals,,/Content/PromotionTags/F24_Fresh_deal.png,_self,Fresh Deals,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh fruit apples kids,9400597062343,kids,fresh fruit,fresh-fruit-apples-kids,11723,Each,,3.0,,,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,False,,,,,In Stock,,0.0,False,False,5.99,5.5,0.49,0.0,False,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/11723.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/11723.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,5.99,5.5,1kg,,1kg,Other,,,Fresh Deals,,/Content/PromotionTags/F24_Fresh_deal.png,_self,Fresh Deals,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh tomatoes loose,9414742353200,loose,fresh,fresh-tomatoes-loose,149681,Kg,,3.0,,0.12,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,True,,,,,In Stock,,0.0,False,False,14.0,14.0,0.0,0.0,True,False,False,False,False,True,,,False,1.68,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/149681.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/149681.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.2,100.0,0.1,,,,14.0,14.0,1kg,,per kg,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh fruit mandarins afourer loose,9369998222025,afourer loose,fresh fruit,fresh-fruit-mandarins-afourer-loose,314075,Kg,,3.0,,0.2,,"[{'id': 4, 'name': 'Fridge & Deli'}]",False,True,,,,,In Stock,,0.0,False,False,6.99,5.49,1.5,20.0,False,False,False,False,False,True,,,False,1.4,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/314075.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/314075.jpg?impolicy=wowcdxwbjbx&w=200&h=200,0.2,100.0,0.1,,,,6.99,5.49,1kg,min order 200g,,Other,,,Fresh Deals,,/Content/PromotionTags/F24_Fresh_deal.png,_self,Fresh Deals,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,fresh vegetable cucumbers telegraph,9421901390013,telegraph,fresh vegetable,fresh-vegetable-cucumbers-telegraph,281455,Each,,3.0,,,,"[{'id': 1, 'name': 'Fruit & Veg'}]",False,False,,,,,In Stock,,0.0,False,False,4.95,4.95,0.0,0.0,True,False,False,False,False,True,,,False,,False,,,False,,,,,,https://assets.woolworths.com.au/images/2010/281455.jpg?impolicy=wowcdxwbjbx&w=65&h=65,https://assets.woolworths.com.au/images/2010/281455.jpg?impolicy=wowcdxwbjbx&w=200&h=200,1.0,36.0,1.0,,,,4.95,4.95,1ea,,,Other,,,Countdown's Own,/shop/productgroup/80842,/Content/PromotionTags/F24_Own_brand.png,_self,,,,,,,,,,,,,,,,,,,,,,,,,,,
